Date,Open,High,Low,Close,Volume_base,Volume_quote,compound,positive,negative,neutral,comp_score
2022-05-24 10:15:00,2790.98,2790.98,2784.47,2788.3,9.9804,27812.341243,-0.34,0.0,0.07,0.93,0
2022-05-24 10:30:00,2783.8,2791.18,2783.47,2787.58,11.0961,30940.659778,-0.34,0.0,0.07,0.93,0
2022-05-24 10:45:00,2789.0,2790.19,2782.01,2786.85,53.3575,148640.136998,-0.34,0.0,0.07,0.93,0
2022-05-24 11:00:00,2787.66,2793.26,2784.16,2792.52,30.4445,84906.28094,-0.34,0.0,0.07,0.93,0
2022-05-24 11:15:00,2792.5,2794.55,2789.51,2792.88,14.8592,41492.064697,0.4215,0.076,0.0,0.924,1
2022-05-24 11:30:00,2793.65,2800.68,2785.0,2785.0,19.1323,53487.136673,0.4215,0.076,0.0,0.924,1
2022-05-24 11:45:00,2785.2,2788.13,2780.11,2780.42,11.8376,32945.447098,0.0,0.0,0.0,1.0,1
2022-05-24 12:00:00,2780.96,2780.96,2774.0,2779.51,51.5404,143129.637491,0.0,0.0,0.0,1.0,1
2022-05-24 12:15:00,2779.41,2784.4,2772.06,2773.81,12.5645,34915.325974,0.0,0.0,0.0,1.0,1
2022-05-24 12:30:00,2772.13,2775.38,2765.0,2770.01,43.495,120473.157448,0.0,0.0,0.0,1.0,1
2022-05-24 12:45:00,2770.01,2780.26,2770.0,2777.03,11.8622,32912.791319,0.0,0.0,0.0,1.0,1
2022-05-24 13:00:00,2776.38,2780.72,2775.84,2777.18,24.7079,68659.698659,0.0,0.0,0.0,1.0,1
2022-05-24 13:15:00,2775.0,2778.25,2770.33,2774.11,28.4994,79083.688122,0.0,0.0,0.0,1.0,1
2022-05-24 13:30:00,2779.88,2780.81,2765.63,2765.63,30.845,85587.801256,0.0,0.0,0.0,1.0,1
2022-05-24 13:45:00,2765.0,2781.83,2756.0,2763.58,47.5922,131716.180557,-0.3182,0.05,0.089,0.861,0
2022-05-24 14:00:00,2760.81,2768.92,2718.13,2721.68,111.1393,304744.927944,-0.3182,0.05,0.089,0.861,0
2022-05-24 14:15:00,2725.41,2726.66,2700.0,2711.95,112.3747,304596.246225,-0.3182,0.05,0.089,0.861,0
2022-05-24 14:30:00,2711.95,2727.63,2711.21,2725.22,24.4987,66633.950908,-0.3182,0.05,0.089,0.861,0
2022-05-24 14:45:00,2725.64,2743.18,2720.95,2729.1,39.5822,108169.608353,-0.3182,0.05,0.089,0.861,0
2022-05-24 15:00:00,2730.49,2737.25,2720.01,2737.25,9.7101,26492.469621,-0.3182,0.05,0.089,0.861,0
2022-05-24 15:15:00,2736.03,2741.02,2733.72,2735.76,9.5121,26051.979007,-0.3182,0.05,0.089,0.861,0
2022-05-24 15:30:00,2734.97,2745.61,2731.8,2744.76,3.6471,9978.230969,-0.3182,0.05,0.089,0.861,0
2022-05-24 15:45:00,2744.84,2759.57,2742.87,2759.57,9.6951,26663.547166,-0.3182,0.05,0.089,0.861,0
2022-05-24 16:00:00,2758.43,2788.96,2758.43,2774.93,47.8342,132538.867669,-0.3182,0.05,0.089,0.861,0
2022-05-24 16:15:00,2772.78,2779.99,2766.74,2777.72,45.826,127034.320864,-0.3182,0.05,0.089,0.861,0
